Month,Target Revenue,Actual Revenue,Variance,% to Target
2024-01,120000,125000,5000,1.041666667
2024-02,130000,128000,-2000,0.9846153846
2024-03,125000,130000,5000,1.04
2024-04,135000,140000,5000,1.037037037
2024-05,140000,138000,-2000,0.9857142857
2024-06,145000,150000,5000,1.034482759
2024-07,150000,148000,-2000,0.9866666667
2024-08,155000,160000,5000,1.032258065
2024-09,160000,158000,-2000,0.9875
2024-10,165000,170000,5000,1.03030303
2024-11,170000,168000,-2000,0.9882352941
2024-12,175000,180000,5000,1.028571429